vkmt,vdpp,d_sat,d_sup,ex_effi,in_effi,trust,engage,SEX,AGE,weight,year,N_kmt,N_dpp,NPID,EDU_2.0,EDU_3.0,EDU_4.0,EDU_5.0,PartyID_1.0,PartyID_2.0,BLosser
8.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,1,0,0
5.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,1.17295674046965,2008,0,0,0,1,0,0,0,0,0,0
6.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,0.0,4.0,0.793892821006572,2008,0,0,0,0,0,1,0,1,0,0
8.0,3.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,1,0,0
4.0,3.0,4.0,0.0,4.0,1.0,2.0,1.0,1.0,3.0,0.835589059131984,2008,0,0,0,0,0,0,1,1,0,0
0.0,10.0,4.0,1.0,3.0,2.0,2.0,3.0,0.0,4.0,1.02126961424478,2008,1,0,0,1,0,0,0,0,1,0
4.0,1.0,4.0,0.0,3.0,3.0,2.0,3.0,0.0,3.0,0.855185950069303,2008,0,1,0,0,0,0,1,1,0,0
7.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,5.0,0.676239105675828,2008,0,0,0,0,0,0,1,1,0,0
4.0,6.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,0,1,0
0.0,6.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,5.0,0.949269510536206,2008,1,0,0,1,0,0,0,0,1,0
8.0,6.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.979431943272572,2008,0,0,0,0,0,1,0,1,0,0
6.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,1.20046584325883,2008,0,0,0,1,0,0,0,1,0,0
3.0,6.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,1,0
0.0,9.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,0.970247412491373,2008,1,0,0,0,0,0,0,0,1,0
6.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,1.152926221797,2008,0,0,0,0,0,1,0,0,0,0
5.0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,1,0,0
0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.29471586451324,2008,1,1,1,0,1,0,0,0,0,0
1.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,0.825416405007554,2008,1,0,0,0,0,0,0,0,1,0
4.0,1.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.03234055762538,2008,0,1,0,0,0,0,1,1,0,0
1.0,6.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,0.844774718870125,2008,1,0,0,0,0,0,0,0,1,0
7.0,6.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,0.997866856930621,2008,0,0,0,1,0,0,0,0,1,0
6.0,4.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,0.844774718870125,2008,0,0,0,0,0,0,0,0,0,0
5.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.03234055762538,2008,0,1,0,0,0,0,1,1,0,0
3.0,8.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,0.828674450579788,2008,0,0,0,0,1,0,0,0,1,0
1.0,7.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,0.871097997186988,2008,1,0,0,0,1,0,0,0,1,0
0.0,10.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,1,0,0,0,0,0,0,0,1,0
7.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,0.835589059131984,2008,0,1,0,0,0,0,1,1,0,0
2.0,6.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.844774718870125,2008,1,0,0,0,0,0,0,0,0,0
